day,mint,symbol,decimals,avg_price
2026-01-04 00:00:00.000 UTC,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,JITOSOL,9,168.1998263888884
2026-01-04 00:00:00.000 UTC,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,6,4.710312500000012
2026-01-04 00:00:00.000 UTC,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,JUPSOL,9,155.85666666666683
2026-01-04 00:00:00.000 UTC,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,MSOL,9,181.2044791666671
2026-01-04 00:00:00.000 UTC,So11111111111111111111111111111111111111112,SOL,9,134.26868055555613
2026-01-04 00:00:00.000 UTC,F23fFqpRNsmWjuUrFpfM1pvoVvMSpLuN6hY978Y1JXLt,USDC,6,3.722326388888768e-06
2026-01-04 00:00:00.000 UTC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,1.0001441909722264
2026-01-04 00:00:00.000 UTC,USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,USDS,6,0.9999204930555569
2026-01-04 00:00:00.000 UTC,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,6,0.9998060208333361
2026-01-04 00:00:00.000 UTC,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,8,91162.94090277795
2026-01-04 00:00:00.000 UTC,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,WETH,8,3140.8489236111163
2026-01-05 00:00:00.000 UTC,bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1,BSOL,9,172.43260416666638
2026-01-05 00:00:00.000 UTC,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,JITOSOL,9,170.55628472222216
2026-01-05 00:00:00.000 UTC,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,6,4.758645833333353
2026-01-05 00:00:00.000 UTC,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,JUPSOL,9,157.96347222222252
